Verbal,Quantitative,Composite,GMAT Percentile
130,130,260,0.0
131,130,261,0.0
132,130,262,0.0
133,130,263,0.0
134,130,264,0.0
135,130,265,0.0
136,130,266,0.0
137,130,267,0.0
138,130,268,0.0
139,130,269,0.0
140,130,270,0.0
141,130,271,0.0
142,130,272,0.0
143,130,273,0.0
144,130,274,1.0
145,130,275,1.0
146,130,276,1.0
147,130,277,1.0
148,130,278,1.0
149,130,279,1.0
150,130,280,2.0
151,130,281,2.0
152,130,282,2.0
153,130,283,2.0
154,130,284,2.0
155,130,285,2.0
156,130,286,3.0
157,130,287,3.0
158,130,288,3.0
159,130,289,3.0
160,130,290,4.0
161,130,291,4.0
162,130,292,4.0
163,130,293,5.0
164,130,294,5.0
165,130,295,5.0
166,130,296,6.0
167,130,297,7.0
168,130,298,7.0
169,130,299,8.0
170,130,300,8.0
130,131,261,0.0
131,131,262,0.0
132,131,263,0.0
133,131,264,0.0
134,131,265,0.0
135,131,266,0.0
136,131,267,0.0
137,131,268,0.0
138,131,269,0.0
139,131,270,0.0
140,131,271,0.0
141,131,272,0.0
142,131,273,1.0
143,131,274,1.0
144,131,275,1.0
145,131,276,1.0
146,131,277,1.0
147,131,278,1.0
148,131,279,1.0
149,131,280,2.0
150,131,281,2.0
151,131,282,2.0
152,131,283,2.0
153,131,284,2.0
154,131,285,2.0
155,131,286,3.0
156,131,287,3.0
157,131,288,3.0
158,131,289,4.0
159,131,290,4.0
160,131,291,4.0
161,131,292,5.0
162,131,293,5.0
163,131,294,5.0
164,131,295,6.0
165,131,296,6.0
166,131,297,7.0
167,131,298,8.0
168,131,299,8.0
169,131,300,8.0
170,131,301,9.0
130,132,262,0.0
131,132,263,0.0
132,132,264,0.0
133,132,265,0.0
134,132,266,0.0
135,132,267,0.0
136,132,268,0.0
137,132,269,0.0
138,132,270,0.0
139,132,271,0.0
140,132,272,0.0
141,132,273,1.0
142,132,274,1.0
143,132,275,1.0
144,132,276,1.0
145,132,277,1.0
146,132,278,1.0
147,132,279,2.0
148,132,280,2.0
149,132,281,2.0
150,132,282,2.0
151,132,283,2.0
152,132,284,2.0
153,132,285,3.0
154,132,286,3.0
155,132,287,3.0
156,132,288,4.0
157,132,289,4.0
158,132,290,4.0
159,132,291,5.0
160,132,292,5.0
161,132,293,5.0
162,132,294,5.0
163,132,295,6.0
164,132,296,7.0
165,132,297,7.0
166,132,298,8.0
167,132,299,8.0
168,132,300,8.0
169,132,301,9.0
170,132,302,10.0
130,133,263,0.0
131,133,264,0.0
132,133,265,0.0
133,133,266,0.0
134,133,267,0.0
135,133,268,0.0
136,133,269,0.0
137,133,270,0.0
138,133,271,0.0
139,133,272,1.0
140,133,273,1.0
141,133,274,1.0
142,133,275,1.0
143,133,276,1.0
144,133,277,1.0
145,133,278,2.0
146,133,279,2.0
147,133,280,2.0
148,133,281,2.0
149,133,282,2.0
150,133,283,2.0
151,133,284,3.0
152,133,285,3.0
153,133,286,3.0
154,133,287,3.0
155,133,288,4.0
156,133,289,4.0
157,133,290,4.0
158,133,291,5.0
159,133,292,5.0
160,133,293,5.0
161,133,294,6.0
162,133,295,7.0
163,133,296,7.0
164,133,297,8.0
165,133,298,8.0
166,133,299,8.0
167,133,300,9.0
168,133,301,9.0
169,133,302,10.0
170,133,303,12.0
130,134,264,0.0
131,134,265,0.0
132,134,266,0.0
133,134,267,0.0
134,134,268,0.0
135,134,269,0.0
136,134,270,0.0
137,134,271,1.0
138,134,272,1.0
139,134,273,1.0
140,134,274,1.0
141,134,275,1.0
142,134,276,1.0
143,134,277,1.0
144,134,278,2.0
145,134,279,2.0
146,134,280,2.0
147,134,281,2.0
148,134,282,2.0
149,134,283,2.0
150,134,284,3.0
151,134,285,3.0
152,134,286,3.0
153,134,287,4.0
154,134,288,4.0
155,134,289,4.0
156,134,290,5.0
157,134,291,5.0
