Composite,GMAT Percentile
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.5
270.0,0.5
271.0,0.5
272.0,1.0
273.0,1.0
274.0,1.5
275.0,1.5
276.0,2.0
277.0,2.0
278.0,2.5
279.0,2.5
280.0,3.5
281.0,3.5
282.0,4.0
283.0,4.5
284.0,5.0
285.0,5.0
286.0,6.5
287.0,7.0
288.0,7.5
289.0,8.0
290.0,9.0
291.0,9.5
292.0,10.0
293.0,12.0
294.0,12.5
295.0,13.0
296.0,14.0
297.0,15.0
298.0,16.0
299.0,18.0
300.0,19.0
301.0,21.0
302.0,23.0
303.0,24.0
304.0,26.0
305.0,28.5
306.0,30.0
307.0,31.0
308.0,35.0
309.0,36.5
310.0,39.5
311.0,41.0
312.0,44.0
313.0,47.0
314.0,49.0
315.0,52.5
316.0,56.0
317.0,58.0
318.0,63.5
319.0,66.0
320.0,67.0
321.0,73.0
322.0,75.0
323.0,78.5
324.0,81.0
325.0,82.0
326.0,85.0
327.0,88.0
328.0,89.5
329.0,92.5
330.0,95.0
331.0,96.0
332.0,97.0
333.0,97.5
334.0,98.5
335.0,99.0
336.0,99.0
337.0,99.0
338.0,99.0
339.0,99.0
340.0,99.0
